# Fautes RÉELLES annotées par UD English-EWT (Typo=Yes / CorrectForm) — CC BY-SA 4.0, Universal Dependencies.
# texte<TAB>début:fin:correction | … — bâti par dictee/build_ewt_typos_en.py ; ne pas éditer à la main.
"They are targetting ambulances", "American snipers are shooting children and pregnant women", and "They are using cluster bombs against civilians" is all you get to hear from him.	10:20:targeting
Many people still believe that to be true, even though the Ministry of Russian Federation on Civil Defence, Emergencies and Elimination of Conseguences of Natural Disasters (EMERCOM of Russia) reported this in 1996:	139:151:Consequences
However, in April 2001, the IAEA published Fifteen Years after the Chernobyl Accident - Lessons learned. which contradict the earlier reports.	111:121:contradicts
Don't have to mention what radiation has done and is still doing to Hirsohima & Nagaski folks--there can be no doubts about the effects of radiation in Chernobyl.......	68:77:Hiroshima | 80:87:Nagasaki
Sunni Arab fundamentalists deeply sympathize with the Palestinians and with Hamas, and those in Iraq have deep historical inks with fundamentalists in Jordan and Palestine.	122:126:links
According to Professor S D Muni, South Asia expert at the Jawaharal Nehru University, the two-year peace talks between Colombo and the Liberation Tigers of Tamil Eelam (LTTE) are stalemated.	58:67:Jawaharlal
Al-Abbudi stated that "His Emminence" decided to openly support the list because "others" (obviously a reference to Allawi) have been abusing official state positions and media outlets in their campaigning.	27:36:Eminence
On sensing my incredulity to his statement he asserted that Ba'athist cells exist in all parts of the country and that they do have a central command, even though many have formed seperate cells (often under Islamic labels) with their own leaderships.	180:188:separate
Last week, Federal District Judge Lynn Hughes in Huston, Texas, threw out Wilson's two-decades old conviction.	49:55:Houston
looks like it is rearing its head again in Louisianna..	43:53:Louisiana
I like yuor blog.	7:11:your
“There have no business being there unless they are undermining Pakistan,’’ says a Pakistani official.	1:6:They
Nobody should feel a looser in Afghanistan,’’ President Hamid Karzai told Pakistan’s English daily The Nation.	21:27:loser
“There have no business being there unless they are undermining Pakistan,’’ says a Pakistani official.	1:6:They
Iran in particular feared that Qanooni would loose and then be politically isolated from the mainstream.	45:50:lose
Maybe I'm missing something here, but how, exactly, does one 'Loose' 200,000 AK47's?	62:67:lose
Funny how some things are squirelled away by well-meaning prosecutors...	26:36:squirreled
Personally I don't give a damn what adults do to one another as long as there is no abuse invovled.	90:98:involved
It is the marrying off of young girls to older men often close relatives that enfurates me.	78:87:infuriates
One member actually was convicted of beating his teen daughter unconcious when she ran away from 'marriage' to her father's own brother.	63:73:unconscious
And were the Columbine killers acting out this "real morality" when they indescriminately murdered their classmates.	73:89:indiscriminately
Here is a thought: When the appartently cognitively functional take actions that seem senseless and incompetent, it is a most certain sign that they have ulterior or hidden motives.	28:39:apparently
But succintly making point after succint point, the text of the letter stands on its own merit, regardless.	4:13:succinctly | 33:40:succinct
Of the metal music farce, Ministry has definately made in-road into 'Loose Change"-"Alex Jones" territory with their new record, Rio Grande Blood.	39:49:definitely
They have been accumulating for years, and basically give the president to sieze the government whenever he feels like it.	75:80:seize
Also, I'm quite clear on the fact that those in power now (and, in general, most anyone at the top of a pyrimidal power structure) tend to use the dominant religion as a cloak to hide their true motivations and as a tool to control the masses.	104:113:pyramidal
Whie I don't subscribe to the notion that the things we watch or listen to have no effect on our behavior (which I think is patently rediculous), it does bother me when people single out a specific group of people to pin the blame on.	0:4:While | 133:143:ridiculous
Sub-cultures (as the lable implies) do not develope in a vacuum.	21:26:label | 43:51:develop
Again, I think the problem is people who sink to far into their own egos, and begin to take their personal metaphors a bit too literaly.	46:48:too | 127:135:literally
These people are dangerous wether they're head-banging to 'Canibal Corpse' or humming along to 'Onward Christian Soldiers'.	27:33:whether | 59:66:Cannibal
I have nothing but respect for people who adhear to non-violence, forgiveness, and charity, but it's important to remember that Christians (or 'Smartwolves') do not have a monopoly on that particular lifestyle.	42:48:adhere
The fact that the US government and media are having a hissy fit over Venezuela wanting to buy guns, and then 200,000 of the guns Chavez wants to buy go missing on their way to Iraq is definitely sus.	196:199:suspect
Aafia was on her way with her children to visit and uncle and a friend in Islamabad.	48:51:an
Columbia	0:8:Colombia
See you all there - this is ling overdue	28:32:long
See you all there - this is ling overdue	28:32:long
I have price targets of where I would like to lighten up exposure to ENE and will use calls to implement the stategy.	109:116:strategy
This entity was created in 2000 for the acquistion of WarpSpeed Communications (now Enron WarpSpeed Services, Inc. 83N), and then dissolved upon completion of merger.	40:50:acquisition
Suerat (any works on paper? -	0:6:Seurat
Modrian	0:7:Mondrian
Jeff, here is the intial draft.	18:24:initial
Mom's birthday is tommorow.	18:26:tomorrow
Give him a call tommorow.	16:24:tomorrow
Hopefully he didn't spel anyting incorrectly.	20:24:sepll | 25:32:anything
I'll send it as soon as you resond wether I should or not.	28:34:respond | 35:41:whether
Ryan Watt says high.	15:19:hi
With these operating standards implemented worldwide, we will know as operations professionals that risk is being mitigated and we will be able to ensure Enron top management that there is consistency in operating standards worldwide.	147:153:assure
Are whole offices (eg Tokyo) unreachable or is it only those who have home offices?	19:21:e.g.
I talked with Markat SW Gas-just honro his numbers	33:38:honor
Please find enclosed EES's request for Volumes for PGE CityGate delvery effective 11/1/01:	64:71:delivery
Did dthat stuff form Joe help your car.	4:9:that | 16:20:from
YesShe is having physical theraphy 3 times a week.	26:34:therapy
Also, as I mentioned to you, we have faxed your mark-up to Melanie Gray at Weil Gotschal in Houston to keep her informed.	80:88:Gotshal
YOU HAVE A LOT ON YOU PLATE, DAD.	18:21:YOUR
9. Scott McNeally, CEO, Sun Microsystems	9:17:McNealy
The line in the POA is a seperate and distinct measure from the daily collateral.	25:33:separate
At some point in the not so distant future, the Houson and London credit departments need to speak in order that each understands the "philosophy" behind credit analysis for the omnibus and master transactions.	48:54:Houston
We need to change the Prod Description fro the LME Product.	39:42:for
The change is mainly on the Settlement Date text, which instead of "...Two business days after the date of the Transaction..." shall read as follow:	141:147:follows
Unfortunately, do to Mr. Lay's schedule he will not be able to participate.	15:17:due
I'll take TCO pool at Index and sale Leach or Pool at Index - $.04.	32:36:sell
Please check Tenn contract 36647 on the Demand speadsheet.	47:57:spreadsheet
Debbie said, it is going to be hard on me to sale my old dodge truck.	45:49:sell
1. I found the title to the 4 wheeler and I was going to change it over to you name.	75:78:your
I do know that most of the time this plant was not buring like it did in July and August of this year.	51:57:burning
I assume you have your anwser and don't need me.	23:29:answer
I think compared to my house, he's embarrased about his apartment.	35:45:embarrassed
Anyway, I got you message, and I got the World Series thing (although I had already received	14:17:your
Your gonna be the first to see the new baby (woudn't it be wierd if the baby gets botn on Jan 5th?)	59:64:weird | 82:86:born
Why didn't Craig show Ma his appartment?	29:39:apartment
What do you think about your phone ocnversation with Unlce Ben (he was almost shocked)?	35:47:conversation | 53:58:Uncle
Deutsched Bank AG	0:9:Deutsche
As for Ted, things are still going well although I haven't see him at all this week (we are two very busy people).	59:62:seen
Hope you day is going well and that the move to 30 went off without a hitch.	5:8:your
I just found out that I need to take the TX drivers exam both written and on the rode.	81:85:road
fyi... it sound like Bobby is in serious condition.	10:15:sounds
Michael and myself are planing to be in Hoston on Thursday and Friday of this week.	23:30:planning | 40:46:Houston
Argentina intend to press ahead even given the concern about taxes, etc.	10:16:intends
Just wanted to know were we stand on the ETA and PA for Argentina?	20:24:where
Thur. Sept. 28 - Paris (Versailles or Fontainbleu - half day side trip)	38:49:Fontainebleu
If these amendmnets are agreeable to you can you please print and arrange for execution.	9:19:amendments
However, if you can wait til 2:00pm to eat, go ahead and grab something and expense it!	25:28:till
Sandi sez it's actually happening at 10 AM and it's renewable-focused.	6:9:says
With regard to our annual review of this list of laws we need to comply with, do we not want to add the Canadian provinces new "eligible swap participant" equivalant rules?	155:165:equivalent
the company is Arco Products, adn their comments are on the attached file.	30:33:and
I'll need to talk to you about his Monday.	31:34:this
Middle Office have instigated a new daily working capital report process tracking cash settlement/ funding data to working capital components for all Metals businesses.	14:18:has
Due to my disability, this will be a monumental task, but I am determined to prove to the Admissions commitee that I can excel with the work at The Texas University Graduate School of Business.	101:109:committee
I understand that it is a competitive process, but I felt that with my work experiences, recommendations, extrcurricular activities, etc., that this would help my chances and possibly compensate my disability.	106:120:extracurricular
Due to my disability, this will be a monumental task, but I am determined to prove to the Admissions committment that I can do the work at The Texas University Graduate School of Business.	101:112:commitment
Also, I would like to continue our dialague regarding creating an Energy-Finance Private Equity Fund at UT.	35:43:dialogue
Yvan, and Ben, please provide answers to these question via written correspondence so that their is limited probability of misunderstanding.	91:96:there
We are running so full tilt on TW that we may not have as much flexibiltiy to manage this situation as we expected, but let me know what we can do.	63:74:flexibility
James had heard that one hold up was the absence of a confidentiality agreement--I guess between ECS and Transwestern--that would permit ECS to communicate to us the details on how to access teh key info. from CDEC.	191:194:the
That sounds like a BS excuse from ECS, but it that's what they are saying, let me know and we can figure out a solution.	43:45:if
Stan may also bring the letter up orally next time he's on the phonne with Gibson or Kyle as an example of how not to handle this situation.	63:69:phone
I am currently employed with the aviation department (hangar attendant) of enron and would like to use my past knowledge and experience to persue my goals in the technology feild.	139:145:pursue | 173:178:field
I am currently employed with the aviation department (hangar attendant) of enron and would like to use my past knowledge and experience to persue my goals in the technology feild.	173:178:field
Mailing them to the house iis fine.	26:29:is
Unfortunately Debbie and I will not be able to attend due to previous committments.	70:82:commitments
Peer reviews are currently been gathered on the above.	27:31:being
Please let me know at your earliest convience if you can help me.	36:45:convenience
Thank you for the invitaion to the conference call.	18:27:invitation
Eleuthra?	0:8:Eleuthera
Where: On Campus Inn at Pen	24:27:Penn
Tom's group would like to know if we have any interesting in buying the crude on either a fixed or floating basis.	46:57:interest
1. In Section 1.1, there should be a parentheses after etc. in the 5th line.	37:48:parenthesis
We can accept the language with your chnages.	37:44:changes
Our system did not show any other chnages.	34:41:changes
Revenues for these customers were adjusted according.	43:52:accordingly
There is nothing wrong with a REAL negotiation, but nothing particularly helpful about generating one that s just for show.	107:108:'s
Thanks for you cooperation.	11:14:your
Corporate Finance- Joe Deffner, Brain Kerrigan, Lewis Worthy, Mary Perkins	32:37:Brian
Justin, I have no knowledge of any bad faith actins Enron has pending inTexas but I will call Richard Sanders who manages domestic litgation here.	45:51:actions
The trustee's oppositon papers are now due Nov 27 and Enron reply is due Dec 1.	14:23:opposition
Look around you and notice all the mind numbing trailor trash cretins out there who should not be procreating, yet they do.	48:55:trailer
When you blame it all on society, there's noone to to take responsibility and all of a sudden you have generation of fucked up kids who are likley smoking, drinking, doing drugs, fucking the neighbor or some internet perv just because you are too lazy to see waht they're doing.	42:47:no-one | 140:146:likely | 259:263:what
You made a choice to be a mommy, you dont get a break until they move out, thats the choice that you madea and that's life.	101:106:made
Another time I'll segueway into all the fun work related instances where "Mommies" get out of doing work and hiding behind childcare as the reason.	18:26:segue
It looks like NASA is ready to sour again after it's devastating loss from the Columbia accident which occurred nearly two years ago.	31:35:soar
One of my most cherished dualities is the understanding that we are both autonomous individuals with the power to shape our personal destinies and at the same time we are all one, that there is no separation between you and I, we are all together in this thing called life, we human beings, the birds and the tress, the rocks and the sky, all of it.	309:314:trees
Any major dischord and we all suffer.	10:18:discord
Oh well, I'll get it when it comes out in Febuary.	42:49:February
rumor has feb 05 on the calender.	24:32:calendar
BUT they stated that they will take as long as it takes to work out all the bugs so who really know how long.	95:99:knows
as far as pre order go to and they have a list of major retailers that carry it there are also a few websites that you could order it off of.	10:13:preorder
The graphics are without a doubt the amoung the best graphics I have ever seen for any game and I have been gaming since the MUD days.	37:43:among
Unemployent stays low because half the population oversees those "out of the workforce", the dregs, the rabble, the enemy?	0:11:Unemployment
Many of us have burrowed beneath the surface to find a spiritual sense of being, an understanding force at least as powerful as those we succumbed to, and many of use wouldn't escape if you opened the front door.	163:166:us
Our distinguished colleagues in this business transaction include the sitting vice-president of the United States of America, Richard Cheney, who is an original partner in the Iraq venture and former head of the Halliburton oil company, and Condoleeza Rice, whose professional dedication to the venture was demonstrated in the naming of a Chevron oil tanker after her.	241:251:Condoleezaa
Let me put it this way - If you have watched TV recently, crossed a modern bridge, flown in an airplane, recieved any form of modern medicine, did any mathematics, drove a car, used a cellular phone, etc. then you have somehow directly reaped the rewards which NASA has returned to us.	105:113:received
I realize that it may sound strange, but we are desparate in our efforts and are willing to try anything to help our dear sick friend.	48:57:desperate
This is not a hoax, as so many of these emails actully are.	47:54:actually
In quick summary, Beyond Control, a local band in our area, is sponoring a benefit for a cancer victim whose benefits have run out.	63:72:sponsoring
They are currently in third place, and need your help so that the prize money can be used for a humanatarian cause.	96:108:humanitarian
This article, and specifically this piece, effected me enough to try to build a song around the topic.	43:51:affected
--Shrodinger"	2:12:Schrödinger
I promise you that if you follow the directions exactly that you will start making more money than you thought possible by doing something so easy!!	56:60:then
Unfortunately, those left behind to be filmed, where those without transportation or means.	47:52:were
The gall of it all is that Bush is stumping for more money to build more refineries, when what he should do is pour money into making the US independent of OPEC or crude oil all together.	174:177:altogether
Free of polution, free of oil dependency, and free of big business that is bleeding us dry for the short term good (theirs).	8:16:pollution
<<In "Love's Labour's Lost" we find a character Don Adriana de Armatho, full of affection and bombast.	63:70:Armado
<<Doctor RODERIGO LOPEZ (1525 -1594) was the Portugese Jewish doctor accused by Essex of trying to poison Queen Elizabeth.	45:54:Portuguese
1542 LEONARDO, Giovanni (a.k.a. Il Puttino/the Boy) born in Calaria.	60:67:Calabria
1574 Boi and Leonardo beat Lopez & Ceron in presence of Phillip II.	56:63:Philip
Of all Freemason sponsered revolutions: American, French, Bolivar, etc. . . Garibaldi's is the most blatantly Masonic:	17:26:sponsored
Antichrist John Lennon wanted to compete with Jesus Christ, and so he grew a beard and started to make a bogus role of Christ together with Yoko Ono at the Amsterdam Hilton hotel proclaiming "Peace", being then when he was visited by the Canadian journalist who ridiculized and admonished him wanting to know about what Lennon meant when he wrote in the lyrics of "The ballad of John and Yoko": "the way things are going, they're going to crucify me...", The CURSE OF GOD upon John Lennon carried on with all type of miseries and distresses which made Lennon give the interview to the "Rolling Stone" magazine (today condensed in the "Lennon remembers" book) where he speaks about how bad thing were going for him blaming "whatever is up there" for it (referring to God).	262:273:ridiculed | 689:694:things
By Graydon Carter (excepted from "What We've Lost", published by Little Brown)	19:27:excerpted
Equine collages uk NEED HELP!!!?	7:15:colleges
Can somebody give me the names some collages that do post 18 (degrees or foundation degrees) in either:	36:44:colleges
Besides from Pacquiao, what else is The Philipines famous for?	40:50:Philippines
You shouldn't ask this question it's intimidating, if i tell you what people knows about Philippines you will blush, thank god many thinks i'm japanese just because of the way i keep myself, the way i talk and treat people, and the way i dress, so if you don't want nasty, insulting answers especially from those undesirable migrants like puttagenius, caloy, gro science, and irene.	132:138:think
They need to be expulse from the country and if they are not there they should be banned entering the country to plant their eggs, as they are considered as the rotten left overs of dinasaurs	16:23:expulsed | 182:191:dinosaurs
not by the company... as you voided your warrenty by installing custom roms	41:49:warranty
cynangon mod should work.	0:8:Cyanogen
As a mytouch 4g owner I know the phone is pretty fast and their is no point installing a rom.	58:63:there
are the moors and penines in Yorkshire a lonely eerie place?	18:25:Pennines
ive never been to the yorkshire moors or penines at all...i can see the penines in the far distance from my bedroom window.	41:48:Pennines | 72:79:Pennines
Lope her to the left in circles, keep her head to the inside of the circle and push her but out, keep doing this if she breaks to a jog go a little bit bigger circle, till she can get enough balance to go small and small.circles	88:91:butt
My answer is that we don't to text speak here... we type in English.	27:29:do
Yo also may want to try "small neighborhood" restaurants and support family run places rather than the large corporate chains.	0:2:You
i have a 3-4 month old kitten and i live in forida.	44:50:Florida
i want to buy a laptop for my girlfriend in ireland,would she be able to just use the dongle she uses for her pc and put it straight in the laptop and it work like normall?	164:171:normal
But word of advice if you're get your girlfriend a laptop make sure its a good brand a not something like DELL, Acer, Asus, eMachines etc.	85:86:and
If in dongle you mean USB stick then yes USB sticks are the same any were you go :) hope that answered your question.	65:68:anywhere
some parents would not eat there fish till a certain age jack dempsey for example would not eat there offspring till they mature but i would move the baby fish into a smaller tank and feed them flakes	27:32:their | 96:101:their
iv owned beardies for ovr 3 yrs and i handle mine all the time.. they dont go hard lik eneedle hard but they arnt pillow soft.	83:86:like | 87:94:needle
they puff out to look bigger and badder and they can scratch you a lil if ur holding them to tight :)	90:92:too
Can someone cunclude how long it might take me to save up for the canan t3i or some extra tips to save/gain money? :O	12:20:conclude | 66:71:Canon
hey kido u made me smile	4:8:kiddo
I'm getting a dwarf Hamster tomorrow And i was just talking to my Mom and she said that we have to take out the wheel at night because it would disturb her sleep But i told her no because i said their energetic at night at my room is right next door to hers But i heard their are wheels that dont make noise at all what would be the price of it?	220:222:and | 270:275:there
well if your desired boarding station comes after more than 2 or 3 halts of the actual boarding point, then the TC will cancel you ticket and allot the seat to others.	127:130:your
my name is Josalyn Leainne Creek and i'm 19 years old and i graduated from high in May adn of this year and i love animals and i'm great at working and i had drama in my last job which was mcallister's deli and i', a mormon and i hvae changed to be a better person that pwople are wanting to hirier and i'm willing to work whenever you need me but i go to church on every sunday and i have a doctor's appointment this thursday at 2;30 and i hope you h=guys hirier me because i work very hard and i dont care about how much you guys pay and i've been looking for a job ever since i have graduated and i hate drama	230:234:have | 270:276:people | 292:298:hire | 457:463:hire
Canadian student visa, can I used for other schools?	29:33:use
(in the visa itself, it does not mention anything about which school I m suppose to attend, and problem is, the embassy here in DC are not too nice and would never answer ANY questions....) any advice please?	71:72:'m | 73:80:supposed
I've never had a dwarf hamster but I've had the same problem with my pet rat I put some chicken wiring around it the I got from home depot and now it can't out.	113:116:that
This is the cage I have whhich is pretty much IMPOSSIBLE to escape from:	24:30:which
Aquiriums are good also, but provide a mesh top for an easy airway.	0:9:Aquariums
I dislike this urban society and want to leave this whole enviroment.	58:68:environment
anybody is open to answers but I would much prefere somebody with traveling experience.	19:26:answer | 44:51:prefer
Why is it stil doing this even though I don't have the other phone connected?	10:14:still
Woud it be better if I got another filter and connected the other phone as well?	0:4:Would
For more info on lo-fi photography, check put my website:	42:45:out
